char	digraph	description
π	p*	greek small letter pi
ρ	r*	greek small letter rho
ς	*s	greek small letter final sigma
σ	s*	greek small letter sigma
τ	t*	greek small letter tau
υ	u*	greek small letter upsilon
φ	f*	greek small letter phi
χ	x*	greek small letter chi
ψ	q*	greek small letter psi
ω	w*	greek small letter omega
ϊ	j*	greek small letter iota with dialytika
ϋ	v*	greek small letter upsilon with dialytika
ό	o%	greek small letter omicron with tonos
ύ	u%	greek small letter upsilon with tonos
ώ	w%	greek small letter omega with tonos
ϙ	'g	greek letter archaic koppa
ϙ		0985
ϛ	t3	greek letter stigma
ϛ	t3	greek small letter stigma
ϝ	m3	greek letter digamma
ϝ	m3	greek small letter digamma
ϟ	k3	greek letter koppa
ϟ	k3	greek small letter koppa
ϡ	p3	greek letter sampi
ϡ	p3	greek small letter sampi
θ	'%	greek capital theta symbol
ϵ	j3	greek lunate epsilon symbol
ё	io	cyrillic capital letter io
ђ	d%	cyrillic capital letter dje
ѓ	g%	cyrillic capital letter gje
є	ie	cyrillic capital letter ukrainian ie
ѕ	ds	cyrillic capital letter dze
і	ii	cyrillic capital letter byelorussian-ukrainian i
ї	yi	cyrillic capital letter yi
ј	j%	cyrillic capital letter je
љ	lj	cyrillic capital letter lje
њ	nj	cyrillic capital letter nje
ћ	ts	cyrillic capital letter tshe
ќ	kj	cyrillic capital letter kje
ў	v%	cyrillic capital letter short u
џ	dz	cyrillic capital letter dzhe
а	a=	cyrillic capital letter a
б	b=	cyrillic capital letter be
в	v=	cyrillic capital letter ve
г	g=	cyrillic capital letter ghe
д	d=	cyrillic capital letter de
е	e=	cyrillic capital letter ie
ж	z%	cyrillic capital letter zhe
з	z=	cyrillic capital letter ze
и	i=	cyrillic capital letter i
й	j=	cyrillic capital letter short i
к	k=	cyrillic capital letter ka
л	l=	cyrillic capital letter el
м	m=	cyrillic capital letter em
н	n=	cyrillic capital letter en
о	o=	cyrillic capital letter o
п	p=	cyrillic capital letter pe
р	r=	cyrillic capital letter er
с	s=	cyrillic capital letter es
т	t=	cyrillic capital letter te
у	u=	cyrillic capital letter u
ф	f=	cyrillic capital letter ef
х	h=	cyrillic capital letter ha
ц	c=	cyrillic capital letter tse
ч	c%	cyrillic capital letter che
ш	s%	cyrillic capital letter sha
щ	sc	cyrillic capital letter shcha
ъ	=\"	cyrillic capital letter hard sign
ы	y=	cyrillic capital letter yeru
ь	%\"	cyrillic capital letter soft sign
э	je	cyrillic capital letter e
ю	ju	cyrillic capital letter yu
я	ja	cyrillic capital letter ya
а	a=	cyrillic small letter a
б	b=	cyrillic small letter be
в	v=	cyrillic small letter ve
г	g=	cyrillic small letter ghe
д	d=	cyrillic small letter de
е	e=	cyrillic small letter ie
ж	z%	cyrillic small letter zhe
з	z=	cyrillic small letter ze
и	i=	cyrillic small letter i
й	j=	cyrillic small letter short i
к	k=	cyrillic small letter ka
л	l=	cyrillic small letter el
м	m=	cyrillic small letter em
н	n=	cyrillic small letter en
о	o=	cyrillic small letter o
п	p=	cyrillic small letter pe
р	r=	cyrillic small letter er
с	s=	cyrillic small letter es
т	t=	cyrillic small letter te
у	u=	cyrillic small letter u
ф	f=	cyrillic small letter ef
х	h=	cyrillic small letter ha
ц	c=	cyrillic small letter tse
ч	c%	cyrillic small letter che
ш	s%	cyrillic small letter sha
щ	sc	cyrillic small letter shcha
ъ	='	cyrillic small letter hard sign
ы	y=	cyrillic small letter yeru
ь	%'	cyrillic small letter soft sign
э	je	cyrillic small letter e
ю	ju	cyrillic small letter yu
я	ja	cyrillic small letter ya
ё	io	cyrillic small letter io
ђ	d%	cyrillic small letter dje
ѓ	g%	cyrillic small letter gje
є	ie	cyrillic small letter ukrainian ie
ѕ	ds	cyrillic small letter dze
і	ii	cyrillic small letter byelorussian-ukrainian i
ї	yi	cyrillic small letter yi
ј	j%	cyrillic small letter je
љ	lj	cyrillic small letter lje
њ	nj	cyrillic small letter nje
ћ	ts	cyrillic small letter tshe
ќ	kj	cyrillic small letter kje
ў	v%	cyrillic small letter short u
џ	dz	cyrillic small letter dzhe
ѣ	y3	cyrillic capital letter yat
ѣ	y3	cyrillic small letter yat
ѫ	o3	cyrillic capital letter big yus
ѫ	o3	cyrillic small letter big yus
ѳ	f3	cyrillic capital letter fita
ѳ	f3	cyrillic small letter fita
ѵ	v3	cyrillic capital letter izhitsa
ѵ	v3	cyrillic small letter izhitsa
ҁ	c3	cyrillic capital letter koppa
ҁ	c3	cyrillic small letter koppa
ґ	g3	cyrillic capital letter ghe with upturn
ґ	g3	cyrillic small letter ghe with upturn
א	a+	hebrew letter alef
ב	b+	hebrew letter bet
ג	g+	hebrew letter gimel
ד	d+	hebrew letter dalet
ה	h+	hebrew letter he
ו	w+	hebrew letter vav
ז	z+	hebrew letter zayin
ח	x+	hebrew letter het
ט	tj	hebrew letter tet
י	j+	hebrew letter yod
ך	k%	hebrew letter final kaf
כ	k+	hebrew letter kaf
ל	l+	hebrew letter lamed
ם	m%	hebrew letter final mem
מ	m+	hebrew letter mem
ן	n%	hebrew letter final nun
נ	n+	hebrew letter nun
ס	s+	hebrew letter samekh
ע	e+	hebrew letter ayin
ף	p%	hebrew letter final pe
פ	p+	hebrew letter pe
ץ	zj	hebrew letter final tsadi
צ	zj	hebrew letter tsadi
ק	q+	hebrew letter qof
ר	r+	hebrew letter resh
ש	sh	hebrew letter shin
ת	t+	hebrew letter tav
،		1548
؛	;+	arabic semicolon
؟	?+	arabic question mark
ء	h'	arabic letter hamza
آ	am	arabic letter alef with madda above
أ	ah	arabic letter alef with hamza above
ؤ	wh	arabic letter waw with hamza above
إ	ah	arabic letter alef with hamza below
ئ	yh	arabic letter yeh with hamza above
ا	a+	arabic letter alef
ب	b+	arabic letter beh
ة	tm	arabic letter teh marbuta
ت	t+	arabic letter teh
ث	tk	arabic letter theh
ج	g+	arabic letter jeem
ح	hk	arabic letter hah
خ	x+	arabic letter khah
د	d+	arabic letter dal
ذ	dk	arabic letter thal
ر	r+	arabic letter reh
ز	z+	arabic letter zain
س	s+	arabic letter seen
ش	sn	arabic letter sheen
ص	c+	arabic letter sad
ض	dd	arabic letter dad
ط	tj	arabic letter tah
ظ	zh	arabic letter zah
ع	e+	arabic letter ain
غ	i+	arabic letter ghain
ـ	++	arabic tatweel
ف	f+	arabic letter feh
ق	q+	arabic letter qaf
ك	k+	arabic letter kaf
ل	l+	arabic letter lam
م	m+	arabic letter meem
